name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;115;0;300;3073;1639;3073;1245;0
header;117;127;117;173;1738;173;1738;127
A;587;64;587;64;587;64;587;64
A;919;195;919;221;939;221;939;195
C;1118;289;1118;307;1132;307;1132;289
B;738;1715;738;1759;767;1759;767;1715
B;819;1715;819;1758;848;1758;848;1715
B;615;1716;615;1758;624;1758;624;1716
B;684;1716;684;1759;713;1759;713;1716
B;922;1716;922;1759;951;1759;951;1716
A;1272;1716;1272;1759;1299;1759;1299;1716
D;778;1717;778;1759;810;1759;810;1717
A;1004;1717;1004;1759;1035;1759;1035;1717
B;1233;1717;1233;1759;1260;1759;1260;1717
B;1385;1717;1385;1759;1414;1759;1414;1717
A;1146;1747;1146;1760;1158;1760;1158;1747
A;477;2258;477;2263;481;2263;481;2258
C;638;2615;638;2634;652;2634;652;2615
C;554;2793;554;2819;577;2819;577;2793
