name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;925;0;902;3075;1283;3075;1213;0
header;146;134;146;172;1761;172;1761;134
A;948;193;948;220;968;220;968;193
B;949;858;949;886;969;886;969;858
B;910;916;910;931;933;931;933;916
C;948;1519;948;1550;970;1550;970;1519
B;1111;1521;1111;1536;1119;1536;1119;1521
A;1071;1894;1071;1902;1078;1902;1078;1894
A;1124;1895;1124;1902;1131;1902;1131;1895
D;947;2179;947;2210;975;2210;975;2179
A;951;2325;951;2329;955;2329;955;2325
B;1217;2701;1217;2716;1239;2716;1239;2701
